자치구명,법정동명,건물면적(㎡),물건금액(만원)
강남구,도곡동,164.74,264000
강남구,일원동,99.79,241500
강남구,자곡동,101.95,199000
강남구,청담동,109.53,355000
강남구,도곡동,173.48,309000
강남구,논현동,114.498,215000
강남구,자곡동,101.18,186000
강남구,자곡동,91.96,193500
강남구,도곡동,124.1,250000
강남구,신사동,312.71,495000
강남구,대치동,94.51,390000
강남구,개포동,148.266,550000
강남구,도곡동,122.81,300000
강남구,자곡동,101.94,187000
강남구,역삼동,147.955,368000
강남구,개포동,133.46,295000
강남구,도곡동,114.993,395000
강남구,도곡동,134.902,429000
강남구,자곡동,91.95,175000
강남구,역삼동,86.76,73000
강남구,삼성동,104.31,230000
강남구,삼성동,170.01,360000
강남구,압구정동,144.7,555000
강남구,대치동,111.54,206000
강남구,압구정동,153.59,520000
강남구,압구정동,91.21,390000
강남구,역삼동,648.1,670000
강남구,청담동,95.38,210000
강남구,대치동,94.49,390000
강남구,세곡동,108.343,210000
강남구,도곡동,164.87,330000
강남구,개포동,104.43,245000
강남구,개포동,133.46,298000
강남구,압구정동,171.43,640000
강남구,대치동,127.75,395000
강남구,도곡동,124.1,251000
강남구,대치동,127.75,367500
강남구,대치동,94.49,380000
강남구,삼성동,121.931,312000
강남구,청담동,203.47,369000
강남구,도곡동,164.99,455000
강남구,도곡동,179.39,250000
강남구,일원동,99.79,240000
강남구,압구정동,107.64,408000
강남구,도곡동,124.66,245000
강남구,삼성동,487.55,875000
강남구,대치동,594.93,960000
강남구,도곡동,120.823,335000
강남구,개포동,133.46,277000
강남구,도곡동,134.902,428000
강남구,대치동,203.39,320000
강남구,청담동,113.57,226000
강남구,청담동,194.13,600000
강남구,대치동,145.83,495000
강남구,개포동,96.93,320000
강남구,압구정동,171.43,680000
강남구,청담동,134.24,275000
강남구,대치동,151.27,500000
강남구,역삼동,114.65,294000
강남구,역삼동,142.06,346000
강남구,대치동,127.61,397500
강남구,수서동,129.45,209000
강남구,도곡동,104.01,188000
강남구,대치동,121.089,310000
강남구,개포동,99.979,347000
강남구,대치동,93.4,344000
강남구,역삼동,158.58,343000
강남구,압구정동,152.28,600000
강남구,삼성동,369.48,475000
강남구,논현동,114.34,202000
강남구,도곡동,164.97,437000
강남구,도곡동,137.24,360000
강남구,압구정동,144.2,535000
강남구,삼성동,121.931,310500
강남구,압구정동,196.21,900000
강남구,대치동,161.47,545000
강남구,일원동,101.97,221000
강남구,일원동,101.97,221000
강남구,개포동,96.955,364000
강남구,개포동,156.939,610000
강남구,자곡동,101.95,201500
강남구,개포동,161.0,337500
강남구,대치동,114.97,376000
강남구,대치동,145.83,482000
강남구,역삼동,114.65,302000
강남구,개포동,96.93,324000
강남구,삼성동,152.98,370000
강남구,압구정동,108.15,419000
강남구,압구정동,144.2,548000
강남구,압구정동,106.71,215000
강남구,압구정동,196.7,681000
강남구,도곡동,146.754,218000
강남구,대치동,190.47,519000
강남구,일원동,134.71,260000
강남구,자곡동,91.95,174000
강남구,도곡동,107.53,210000
강남구,도곡동,115.63,314000
강남구,대치동,127.75,382500
강남구,역삼동,114.65,275000
강남구,청담동,114.83,229000
강남구,도곡동,126.46,347500
강남구,개포동,136.06,420000
강남구,도곡동,114.993,377000
강남구,일원동,134.71,267000
강남구,도곡동,112.86,215000
강남구,도곡동,160.56,440000
강남구,도곡동,114.993,365000
강남구,역삼동,102.79,102000
강남구,대치동,114.14,492000
강남구,압구정동,108.88,440000
강남구,일원동,99.79,227000
강남구,압구정동,100.5,327000
강남구,대치동,97.35,273000
강남구,청담동,90.197,325000
강남구,도곡동,184.31,245500
강남구,대치동,115.05,334000
강남구,대치동,97.35,270000
강남구,논현동,494.77,620000
강남구,도곡동,177.255,305000
강남구,개포동,104.43,236000
강남구,대치동,115.59,277000
강남구,개포동,94.84,390000
강남구,대치동,161.36,448000
강남구,개포동,134.3,273000
강남구,대치동,115.05,349250
강남구,대치동,115.59,277000
강남구,삼성동,122.485,307000
강남구,수서동,101.88,208000
강남구,도곡동,119.89,365000
강남구,대치동,128.01,362000
강남구,도곡동,141.648,366000
강남구,대치동,127.78,395000
강남구,일원동,134.71,208000
